"#id houseGridSketch aNewClueClipping allowanceNote antechamberMap antechamberNote antechamberNote2","Name House Grid Sketch A New Clue Clipping Allowance Note Antechamber Map Antechamber Note Antechamber Note 2","Note Name 45 Rooms Note A New Clue Clipping Allowance Note Antechamber Entry Controls Antechamber Note Antechamber Note (Monk)","Location room:out005:Hovel room:sho006:Bookshop room:gre004:Cloister room:blu045:Antechamber room:blu045:Antechamber","Description ","Pages ","Parsed text REDDINGTON HERALD\n""A NEW CLUE"" SOLD OUT IN HOURS\nIt should come as no surprise that\r\nthe latest book from local author\r\nMarion Marigold is breaking literary\nrecords and making headlines even\nin absentia. The release of her new\nbook, \""A New Clue\"", comes only \nfourteen months after the distressful\nreport of the author's mysterious\nand unexplained disappearance.\r\n     Her current publisher has issued a statement debunking the conspiracy theories surrounding the book's recent announcement stating \""The writing of the book was completed and well into the editing stages many months before [the disappearance].\""  In addition, the publisher has revealed that all of the proceeds from first edition sales of \""A New Clue\"" will be going to LASTING HOPE, a non-profit organization that aims to provide resources and intel in the investigations of missing persons. Still, the timing and  conveniently mysterious title of Marigold's third book has left many cynics denouncing the book and her disappearance as a cheap publicity stunt. Detective Bon Margle, who\nmany theorize may have been the inspiration for \""A New Clue\"", was quoted only saying that the book was \""unintentionally accurate.\""\n     Regardless of their opinions, fans, pundits and cynics alike were standing together, elbow to elbow in bookshop queues this morning eager to get their hands on what may\n   very likely be the last words ever published by the missing author. thaw only in the event of my death\n\nSimon,\nI had wished for you to read this letter upon first arriving at Mt. Holly but I couldn't risk the contents of these pages falling into unsympathetic hands.\n\nMy personal freezer should prove quite the safebox, as all of the staff have for many years respected my wishes that it remain shut and untampered. (My favorite snacks were also stored here!)\n \nBut in addition to these delicious treats, it has also for the last 20 years stored many a cryptic message and ciphered note. This nondescript cooler is, in fact, a dubious frozen postbox of chilled secrets.\n\nHave you heard of the Children of Black ?\n\nI have no idea how forthcoming your father has been about the details surrounding your mother's final chapter... or the role he thinks I played in that end. I have always denied involvement. To him. To the detectives. To the crown. And now to you as well.\n\nBut can I honestly say I had nothing to do with her disappearance? And yes, I speak of disappearance, not death. For I, too, cling to the hope that our fears are unfounded, and have occasionally, from time to time, caught fragments of information that bolster this belief.\n\nFragments of information that have cost me plenty, for our country is never short of opportunists and blackmailers.\n\nStill, as I am now dead, I don't want this knowledge to be buried with me, even if that means passing the burden of these fragments onto you. Even if that information may weigh even heavier on your head than the crown involved.\n\nUnfortunately, this information is a little too precious to entrust entirely to this freezer as I'm not too confident that the sanctity of my snacks will extend beyond my life! I've always found it best to use multiple baskets when it comes to incriminating eggs; a lesson that I recently learned again when a member of my staff betrayed my confidence.\n \nI have placed eight red envelopes in eight even more secure locations throughout the estate and left a hidden message for you among the art that hangs in almost every room in this house. This message is the key to unlocking these secrets, but you must be open in your interpretation, as the message itself harbors multiple double meanings and hidden entendres.One final word of advice:\n\nDo not assume the rooms you find today will be the same rooms you find tomorrow. These grounds have provided me a home for the last half century and even I am uncertain of which room lies beyond any particular door.\n\nYour grandmother used to say, \""Don't go where the path leads. Abandon the path and go where you want it to lead.\n\n_ _   _ _\n_ _ _ _ _\n_ _ _ _ _\n_ _ _ _ _,\n_ _ _ _ _\n_ _ _ _ _\n_ _ _ _ _\n_ _ _ _ _\n_ _ _ _ _ To continue up, you must go down. So close,\nyet so far away","Magnifier Parsed Text ","Comments Before Patch 1.04, the article previously said ""The release of her new book, 'A New Clue', comes only four months after the distressful report of the author's mysterious and unexplained disappearance."" ","Coverage ","Content Tags ","","","","","","","","","","","","","","know:houseGridSketch know:aNewClueClipping know:allowanceNote know:antechamberMap know:antechamberNote know:antechamberNote2"
"archiveClippings1","Archive Clippings 1","Archive Clippings 1","room:red004:Archives","","5","","","With Patch 1.04, the publication date of ""No trace is discovered..."" was changed from Feb 21 '87 to Feb 22 '87","","","","","","","","","","","","","","","","know:archiveClippings1"
"archiveClippings2","Archive Clippings 2","Archive Clippings 2","room:red004:Archives","","4","","","","","","","","","","","","","","","","","","","know:archiveClippings2"
"castle1","Castle 1","Aries Court: Note 1","room:zoneAries:Aries Court","","","In\nARIES\nCOURT\nWHERE\nTHE\nKING\nNOW\nLAYS","","","","","","","","","","","","","","","","","","know:castle1"
"castle2","Castle 2","Aries Court: Note 2","room:zoneAries:Aries Court","","","ON\nTHE\nSACRED\nHOUR\nTHAT\nTIMEWORN\nPHRASE","","","","","","","","","","","","","","","","","","know:castle2"
"castle3","Castle 3","Aries Court: Note 3","room:zoneAries:Aries Court","","","will\na\nyouth\napproach\nwith\nempty\narms","","","","","","","","","","","","","","","","","","know:castle3"
"castle4","Castle 4","Aries Court: Note 4","room:zoneAries:Aries Court","","","WITHOUT\nGIFTS\nNOR\nGOLD\nNOR\nMANNERED\nCHARMS","","","","","","","","","","","","","","","","","","know:castle4"
"castle5","Castle 5","Aries Court: Note 5","room:zoneAries:Aries Court","","","AND\nIN\nSKY\nABOVE\nA\nBRILLIANT\nSIGN","","","","","","","","","","","","","","","","","","know:castle5"
"castle6","Castle 6","Aries Court: Note 6","room:zoneAries:Aries Court","","","A\nSULLEN\nCROSS\nAS\nFIVE\nSTARS\nALIGN","","","","","","","","","","","","","","","","","","know:castle6"
"castle7","Castle 7","Aries Court: Note 7","room:zoneAries:Aries Court","","","A\nPATIENT\nFIGURE\nA\nRECKONING\nGREAT","","","","","","","","","","","","","","","","","","know:castle7"
"castle8","Castle 8","Aries Court: Note 8","room:zoneAries:Aries Court","","","THE\nBLACK\nKEY\nIS\nLYING\nWITH\nTHE\nLAST\nKING\noF\nEIGHT","","","","","","","","","","","","","","","","","","know:castle8"
"auraVeiPhoto","Aura Vei Photo","Auravei Photo","","","","","","","","","","","","","","","","","","","","","","know:auraVeiPhoto"
"baffler1","Baffler 1","Baffler","","","","","","","","","","","","","","","","","","","","","","know:baffler1"
"ballroomPhoto","Ballroom Photo","Ballroom Clara & Simon Photo","room:blu020:Ballroom","","","Clara &\n           Simon\n\n<size=1.2>            Inneclipse   Ball   1952</size>","","","","","","","","","","","","","","","","","","know:ballroomPhoto"
"bedroomPhoto","Bedroom Photo","Bedroom Photo","room:bed001:Bedroom","","","","","","","","","","","","","","","","","","","","","know:bedroomPhoto"
"binary","Binary","Blackbridge Note","room:zoneBG:Blackbridge Grotto","","","I IOO","","","","","","","","","","","","","","","","","","know:binary"
"memoBlue1","Memo Blue1","Blue Box Memo: 1","room:zoneRes:Reservoir","","","GREEN MEMOS\nin WHITE BOXES\nARE LIES.","","","1","","","","","","","","","","","","","","","know:memoBlue1"
"memoBlue2","Memo Blue2","Blue Box Memo: 2","room:zoneRes:Reservoir","","","PINK BOXES\nMARKED BY\n\n\n\nALWAYS CONTAIN\nBLUE MEMOS.","","","1","","","","","","","","","","","","","","","know:memoBlue2"
"memoBlue3","Memo Blue3","Blue Box Memo: 3","room:zoneRes:Reservoir","","","THIS Box\nCONTAINED\nA SANcTUM KEY.","","","1","","","","","","","","","","","","","","","know:memoBlue3"
"memoBlue4","Memo Blue4","Blue Box Memo: 4","room:zoneRes:Reservoir","","","ALL BOXES\nMARKED BY\n\n\n\nCONTAIN MEMOS\nTHAT ARE TRUE.","","","1","","","","","","","","","","","","","","","know:memoBlue4"
"memoBlue5","Memo Blue5","Blue Box Memo: 5","room:zoneRes:Reservoir","","","THE PINK BOXES\nDO NOT CONTAIN\nANY PRIZES.","","","1","","","","","","","","","","","","","","","know:memoBlue5"
"memoBlue6","Memo Blue6","Blue Box Memo: 6","room:zoneRes:Reservoir","","","THIS BOX CONTAINED\n3 ALLOWANCE\nTOKEnS!","","","1","","","","","","","","","","","","","","","know:memoBlue6"
"memoBlue7","Memo Blue7","Blue Box Memo: 7","room:zoneRes:Reservoir","","","THE SANcTUM KEY\niS NOT IN A\nBOX IN THE .","","","1","","","","","","","","","","","","","","","know:memoBlue7"
"memoBlue8","Memo Blue8","Blue Box Memo: 8","room:zoneRes:Reservoir","","","ONLY ONE BLUE\nBOX IN THE \nCONTAINS A MEMO\nWITH A TRUE\nSTATEMENT.","","","1","","","","","","","","","","","","","","","know:memoBlue8"
"memoBlue9","Memo Blue9","Blue Box Memo: 9","room:zoneRes:Reservoir","","","THE GREEN MEMOS\nin BOXES NEAR\nTHIS BOX ARE\nBOTH LIES.","","","1","","","","","","","","","","","","","","","know:memoBlue9"
"breakRoomMemoBlue","Break Room Memo Blue","Blue Memo: Break Room","room:blu006u2:Break Room","","","STAFF CONTRACTS\nARE NO LONGER\nKEPT ON THE\nHIGHEST RANK.","","","","","","","","","","","","","","","","","","know:breakRoomMemoBlue"
"tentDraftingMemos","Tent Drafting Memos","Blue Memo: Full Directory","","","","The full directory comprises 46 numbered rooms plus eight categories of eight rooms.\n\n46   +   46","","","1.066666667","","","","","","","","","","","","","","","know:tentDraftingMemos"
"labMemoBlue","Lab Memo Blue","Blue Memo: Lab","room:blu036:Laboratory","","","THIS MACHINE REQUIRES ADDITIONAL POWER\nPIPED IN FROM\nTHE BOILER ROOM","","","1","","","","","","","","","","","","","","","know:labMemoBlue"
"networkNoteBlue","Network Note Blue","Blue Memo: Locked doors","room:blu034:Security","","","Keycard access security doors are more likely to appear in the HIGHER RANKS of the estate.\n\nLIKEWISE, AS A REDUNDANT SECURITY MEASURE, NORMAL DOORS IN THE ESTATE WILL ALSO BE MORE LIKELY TO BE LOCKED AS YOU PROGRESS NORTH.","","","1","","","","","","","","","","","","","","","know:networkNoteBlue"
"memoBlueBedroom","Memo Blue Bedroom","Blue Memo: Major Keys","","","","THERE ARE\nTWELVE\nMAJOR KEYS","","","1","","","","","","","","","","","","","","","know:memoBlueBedroom"
"throneNote","Throne Note","Blue Mora Jai Note","room:fou007u1:Throne of the Blue Prince","","","When you press a BLUE TILE, it\ncopies the ability of the middle tile.","","","0.6363636364","","","","","","","","","","","","","","","know:throneNote"
"libraryRequest","Library Request","Book Request Form","room:blu027:Library","","","","","","","","","","","","","","","","","","","","","know:libraryRequest"
"libraryRequest2","Library Request 2","Book Request Form 2","room:blu027:Library","","","","","","","","","","","","","","","","","","","","","know:libraryRequest2"
"boudoirPhoto","Boudoir Photo","Boudoir Photo","room:bed002:Boudoir","","","","","","","","","","","","","","","","","","","","","know:boudoirPhoto"
"carNote","Car Note","Car Note","room:blu014:Garage","","","The drop-off address is 14227 Sandy Heights. A small garage on the south edge of Trinsdale.\n\nThe goods are already secure and in the trunk, so just unload and get back here before noon. I’ve seen Sinclair’s schedule and I don’t think he’ll be requesting the car today but you never know when the\ncat will want to get some air.\r\n\r\nTomorrow will likely be the last delivery and I believe Denny already has payment ready.","","","","","","","","","","","","","","","","","","know:carNote"
"birthCertificate","Birth Certificate","Certificate of Birth","","","","","","","","","","","","","","","","","","","","","","know:birthCertificate"
"postcardXmas","Postcard Xmas","Christmas Postcard","room:bed002:Boudoir","","","Stay safe THIS HOLIDAY SEASON","","","0.7142857143","","","","","","","","","","","","","","","know:postcardXmas"
"classLetter","Class Letter","Class Letter","room:add005:Classroom","","2","","","","","","","","","","","","","","","","","","","know:classLetter"
"classroomFinalExam","Classroom Final Exam","Classroom Final Exam","room:add005:Classroom","","","<size=2.4>INSTRUCTIONS:</size>  Your exam has begun. You will now have\nthirty minutes to complete the next 18 pages of questions related to the\ncurriculum covered over the previous eight grades. If you do not know\nthe answer to a question, skip it and come back later. This is an open\nbook exam and you may use your notes and may retrieve information\nfrom other rooms to help you as long as you complete the test within\nthirty minutes. After you have completed your exam, it will be graded\nremotely and results will be sent to you the following day.","","","","","","","","","","","","","","","","","","know:classroomFinalExam"
"clock1","Clock 1","Clock Memo 1","room:add003:Clock Tower","","","EACH OF THESE CLOCKS SHOULD BE SET TO A DIFFERENT TIME","","","","","","","","","","","","","","","","","","know:clock1"
"clock2","Clock 2","Clock Memo 2","room:add003:Clock Tower","","","FIVE OF THESE CLOCKS\nSHOULD BE SET TO A TIME\nENDING ""ON THE HOUR""\n","","","","","","","","","","","","","","","","","","know:clock2"
"clock3","Clock 3","Clock Memo 3","room:add003:Clock Tower","","","SET THIS CLOCK TO A\nTIME CONTAINING ALL DIFFERENT NUMBERS\n","","","","","","","","","","","","","","","","","","know:clock3"
"clock4","Clock 4","Clock Memo 4","room:add003:Clock Tower","","","This clock<size=1> </size>s neighbors should BOTH be set to a time containing a <size=7>7.</size>\n","","","","","","","","","","","","","","","","","","know:clock4"
"clock5","Clock 5","Clock Memo 5","room:add003:Clock Tower","","","THIS CLOCK SHOULD NOT BE SET ‘ON THE HOUR’\n<size=4>(ending in :00)","","","","","","","","","","","","","","","","","","know:clock5"
"clock6","Clock 6","Clock Memo 6","room:add003:Clock Tower","","","None of these clocks should be set to times that contain the number <size=7>1, 2, 3</size> or <size=7>4","","","","","","","","","","","","","","","","","","know:clock6"
"clock7","Clock 7","Clock Memo 7","room:add003:Clock Tower","","","THIS CLOCK SHOULD BE SET TO A TIME THAT CONTAINS THE SAME THREE NUMBERS OF ANOTHER CLOCK HERE BUT IN REVERSE ORDER.","","","","","","","","","","","","","","","","","","know:clock7"
"clock8","Clock 8","Clock Memo 8","room:add003:Clock Tower","","","The clocks are positioned\nso that their times will go up\nin ascending order","","","","","","","","","","","","","","","","","","know:clock8"
"clocktowerNote","Clocktower Note","Clock Tower Note","room:add003:Clock Tower","","","Southward I see a swan,\nAshen like sands of the shore,\nCarried by westwardly winds,\nRouge like the moon of the north.\nEastward I see a crow,\nDark are the days coming fourth.\n","","","","","","","","","","","","","","","","","","know:clocktowerNote"
"cloisterNote","Cloister Note","Cloister Note","room:gre004:Cloister","","","Mr. Nogula,\nIf you are reading this, it seems the day has finally come, and the Cloister is at long last getting some much-overdue maintenance. I have left you a literal token of appreciation to serve as positive reinforcement, which should grant you a bit of extra spending money each day while working on the estate. We have learned from our dealings with your predecessor that it is much cheaper in the long run to be generous.","","","","","","","","","","","","","","","","","","know:cloisterNote"
"hovelNote","Hovel Note","Cloister Note","room:add008:Solarium","","","Mr. Nogula,\nAnne wanted me to remind you\n(once again) that it is expected of you to keep the grass in the cloister cut and the trees trimmed.\n\nI have a feeling you may have\nforgotten how to open the cloister wall again, so to save you some stern words, I decided to draw you a little diagram to help you out. Who knows, maybe this time it will stick!\n\n              Sympathetically,\n                 <size=7>   Bridgette","","","0.9230769231","","","","","","","","","","","","","","","know:hovelNote"
"closedExhibitLetter","Closed Exhibit Letter","Closed Exhibit Letter","room:fou004:Closed Exhibit","","","Dearest Children,\n\n    The pieces are in place and all rigid cogs have been greased. However, if our ambitious plans are to succeed, we must strike <u>this</u> Tuesday. The routine changing of guard personnel on the first of each month means the opportunity we have created for ourselves will likely never be so opportune. If we wait even one additional week, the window will be closed.\n\n    On Tuesday, there will be three Royal Guards stationed at Leerson Hall, two of which will be wearing black gloves in lieu of the traditional white. We would be wise to sacrifice almost everything to avoid the white gloved guard, striking only when he takes a recess. The two black gloved guards have been instructed to bind, blind and gag themselves, to spare us the precious extra minutes it would take your group to execute that task on their behalf. However, that also means that once we reach the exhibit, we will truly be on our own.\n\n    May the Black Shores guide us, may the Black Skies shield us, may our fathers be proud of us,\n\n\n                        In arms,\n\n                     your faithful soldier, \n                                \n                           <size=4.8>Farro","","","","","","","","","","","","","","","","","","know:closedExhibitLetter"
"schoolSpeech","School Speech","Closing Address","room:out004:Schoolhouse","","2","For the last 38 years, it has been my pleasure of serving as your schoolmaster in this humble little facility. And meager as it may look by modern standards, I think most of us who spent our afternoons here will readily admit that we are reluct to see this small piece of Reddington history go.\r\n\r\nI first wish to thank Lady Epson, our most gracious host today, for not only paying attention in my classes those many years ago - but for all the fundraising she has done on behalf of our community and our children. Without her, Reddington Elementary would still be a distant and blurry vision. A vision that I dared not even dream. \r\n\r\nThat dreamer is of course, the incomparable Mrs. Peterson, our future principal and my reluctant successor who I might add, forced me to give this speech, so I think I’ll end my praise of her there, though she deserves much more I’ll admit.\r\n\r\nTo the architect of our new school, the Baron Sinclair, thank you for following in your father’s footsteps in building Reddington yet another school. And for also allowing the use of your own private residence and floorplans to serve as our interim facility until the new campus is completed in March. A decision, I’m certain he will immediately regret tomorrow morning when he hears the children running through his halls.\r\n\r","","","0.9786324786","","","","","","","","","","","","","","","know:schoolSpeech"
"trNote","Tr Note","Clue = 3","","","","CLUE = 3","","","1.5","","","","","","","","","","","","","","","know:trNote"
